task,model,r2_train,r2_test,rmse_test,accuracy,weighted_f1,macro_f1,tfidf_max_features,tfidf_ngram_range,tfidf_svd_n_components,imb_sampler,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8658534288406372,0.6982315182685852,0.8412669343646799,0.42697095435684645,0.4215897079990342,0.40976947768439514,20000,"(1, 1)",200,smote,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8843801617622375,0.698014497756958,0.8415693431396125,0.42946058091286304,0.426061179729217,0.41342178408731983,20000,"(1, 1)",200,smote,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9137410521507263,0.6984130144119263,0.8410139580837231,0.4363070539419087,0.43475899731005185,0.41944820824290857,20000,"(1, 1)",200,smote,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9766064882278442,0.6982930302619934,0.8411811647976585,0.4433609958506224,0.44199750567199414,0.42583234141095394,20000,"(1, 1)",200,smote,1.0,0.1,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9852432012557983,0.6979762315750122,0.8416227085292527,0.44543568464730293,0.4442403635639051,0.42722625686957355,20000,"(1, 1)",200,smote,1.0,0.1,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9939250349998474,0.697340190410614,0.8425084268731468,0.44356846473029043,0.4430716310195858,0.42517915476526225,20000,"(1, 1)",200,smote,1.0,0.1,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9993854761123657,0.6962395906448364,0.8440389491626273,0.43008298755186725,0.42693932942841617,0.4122902826794941,20000,"(1, 1)",200,smote,1.0,0.1,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9997637867927551,0.6962254047393799,0.8440586161462319,0.42697095435684645,0.42369665824210717,0.4091080505525323,20000,"(1, 1)",200,smote,1.0,0.1,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999361038208008,0.696315348148346,0.8439336153088033,0.42904564315352695,0.42628660077444885,0.4113630781558199,20000,"(1, 1)",200,smote,1.0,0.1,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.905602216720581,0.6925420165061951,0.8491604726214205,0.42531120331950206,0.42297705090023124,0.40958687234533936,20000,"(1, 1)",200,smote,1.0,0.15,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.92327481508255,0.6915935277938843,0.8504692549443817,0.4288381742738589,0.42736375738121113,0.412367560931928,20000,"(1, 1)",200,smote,1.0,0.15,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9485220313072205,0.6904650926589966,0.8520237784492688,0.4350622406639004,0.4353838298538427,0.4196626571663008,20000,"(1, 1)",200,smote,1.0,0.15,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9919837117195129,0.687240481376648,0.8564502537583726,0.43298755186721993,0.43269399375085704,0.4175568959187796,20000,"(1, 1)",200,smote,1.0,0.15,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9958318471908569,0.6871309876441956,0.8566001482444847,0.4358921161825726,0.4355905298287167,0.42087010404019487,20000,"(1, 1)",200,smote,1.0,0.15,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9987789988517761,0.6873763203620911,0.8562642409539571,0.43340248962655603,0.43340186953647575,0.4180663160602065,20000,"(1, 1)",200,smote,1.0,0.15,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999128580093384,0.6879785060882568,0.8554392073594669,0.4348547717842324,0.4344824978109581,0.42004887381277145,20000,"(1, 1)",200,smote,1.0,0.15,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999508857727051,0.6880146265029907,0.8553896654057275,0.43568464730290457,0.43506362626281475,0.4206304649755692,20000,"(1, 1)",200,smote,1.0,0.15,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.999964714050293,0.6880189180374146,0.8553837424766212,0.43609958506224067,0.43557308190326527,0.42110610399247833,20000,"(1, 1)",200,smote,1.0,0.15,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8693374395370483,0.7004061937332153,0.838230162074359,0.4259336099585062,0.4221807505222484,0.41085883202284046,20000,"(1, 1)",200,random,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8875402808189392,0.7011637687683105,0.8371696660504945,0.4371369294605809,0.4352326064220309,0.42185722641975615,20000,"(1, 1)",200,random,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9148997068405151,0.702238142490387,0.8356634385962487,0.4433609958506224,0.44335511840019376,0.4279957867601281,20000,"(1, 1)",200,random,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9740265607833862,0.7040268182754517,0.8331496910563038,0.44854771784232367,0.4489055205971202,0.42713945986350843,20000,"(1, 1)",200,random,1.0,0.1,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9826117753982544,0.7037230730056763,0.8335771482149775,0.45020746887966806,0.450830174021406,0.42843784988832373,20000,"(1, 1)",200,random,1.0,0.1,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9917596578598022,0.7034351825714111,0.8339820522302804,0.4533195020746888,0.454358425911084,0.43061400752172024,20000,"(1, 1)",200,random,1.0,0.1,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9987000823020935,0.6961052417755127,0.8442254669470121,0.4392116182572614,0.4359063137585012,0.41398860214933186,20000,"(1, 1)",200,random,1.0,0.1,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.999418318271637,0.6962822675704956,0.8439796629688268,0.44149377593360994,0.43836131008758894,0.41608546393787316,20000,"(1, 1)",200,random,1.0,0.1,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9998611211776733,0.6962596774101257,0.8440109838295294,0.44273858921161824,0.4396682566998918,0.4173150608779075,20000,"(1, 1)",200,random,1.0,0.1,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9075515270233154,0.6974002122879028,0.8424248355649661,0.4352697095435685,0.43590506857202227,0.41876932504427344,20000,"(1, 1)",200,random,1.0,0.15,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9245996475219727,0.6968365907669067,0.8432089872500169,0.43734439834024896,0.4381536838179111,0.42012578737070533,20000,"(1, 1)",200,random,1.0,0.15,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9489865303039551,0.6958950757980347,0.8445173588826893,0.4421161825726141,0.4448461089149305,0.4247158095881002,20000,"(1, 1)",200,random,1.0,0.15,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9896656274795532,0.6887869834899902,0.8543301673963957,0.43568464730290457,0.43750595806540526,0.41659934460038944,20000,"(1, 1)",200,random,1.0,0.15,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9939910769462585,0.6882778406143188,0.855028779621849,0.4396265560165975,0.4413529615394791,0.4199661001374132,20000,"(1, 1)",200,random,1.0,0.15,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9979768395423889,0.6881129741668701,0.8552548215050539,0.441701244813278,0.44378183832003254,0.42143122199762234,20000,"(1, 1)",200,random,1.0,0.15,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9997982978820801,0.6880114078521729,0.8553940901554142,0.44979253112033196,0.4506059370810391,0.4278774708905554,20000,"(1, 1)",200,random,1.0,0.15,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999164938926697,0.6880171298980713,0.8553862161755295,0.44979253112033196,0.4507319049019243,0.427666943519634,20000,"(1, 1)",200,random,1.0,0.15,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.999955952167511,0.6880223751068115,0.8553790041038073,0.44896265560165977,0.4497885759582014,0.42670262946691473,20000,"(1, 1)",200,random,1.0,0.15,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8836209177970886,0.7029539346694946,0.8346584552951567,0.45394190871369294,0.4533702566827292,0.4295819900716135,20000,"(1, 1)",200,none,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9011372923851013,0.7034344673156738,0.8339829813389446,0.45684647302904563,0.45677040092566945,0.43290979813220487,20000,"(1, 1)",200,none,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9279260039329529,0.7018147706985474,0.836257302975092,0.46265560165975106,0.4629960057274051,0.4397584453458162,20000,"(1, 1)",200,none,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9818659424781799,0.7032134532928467,0.8342937815709137,0.45477178423236514,0.4535357337076385,0.42761852239969517,20000,"(1, 1)",200,none,1.0,0.1,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9888273477554321,0.7036455869674683,0.8336860426888533,0.45726141078838173,0.4562885250324995,0.4304788991598702,20000,"(1, 1)",200,none,1.0,0.1,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9957902431488037,0.7030941247940063,0.8344614419914627,0.45726141078838173,0.4566758880568796,0.43033006320779243,20000,"(1, 1)",200,none,1.0,0.1,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9993847012519836,0.697999119758606,0.8415908030195987,0.4479253112033195,0.44417736148184755,0.4206301906573893,20000,"(1, 1)",200,none,1.0,0.1,8,500,1.0
