ngram,count
service client,1553
direct assurance,1360
satisfait service,1287
prise charge,1018
olivier assurance,562
satisfaite service,480
qualité prix,477
assurance auto,458
service prix,456
satisfait prix,420
rapide efficace,409
rapport qualité,400
simple rapide,395
carte verte,371
cas sinistre,344
simple pratique,340
contrat assurance,326
assurance habitation,314
assurance vie,313
pris charge,310
prix conviennent,287
accident responsable,286
bris glace,283
recommande vivement,280
site internet,280
20 ans,274
bonne assurance,269
10 ans,259
résilier contrat,248
recommande assurance,236
accueil téléphonique,236
sinistre responsable,231
bon rapport,226
satisfait services,225
prix correct,223
service rapide,220
impossible joindre,218
30 ans,211
dégât eaux,205
15 jours,197
